Name,Location,Experience,Specialization,Image_Url,Rating,City,Description
Advocate Jash J. Dalia,"Kalewadi, Parel, Mumbai",8 years Experience,Civil,https://lawrato.com/expert_images/thumb/webp/advocate-jash-j.-dalia.webp,3.7,Mumbai,"Advocate Jash J. Dalia has been practicing and handling cases independently and through his law firm with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services along with contractual and litigation expertise"
Advocate Shreyas Jain,"Mumbai, Mumbai",7 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-shreyas-jain.jpg,4.0,Mumbai,"With a robust background in litigation spanning since 2018, Shreyas Jain is an advocate based in Mumbai and Thane, adept at navigating the complexities of legal disputes across multiple domains. My practice encompasses Criminal, Civil, Consumer, Cheque bounce, Divorce, Matrimonial, and Execution matters.Having represented several clients before esteemed institutions such as the Bombay High Court, City Civil Courts, Sessions Courts, Magistrate Courts, and Family Courts, I bring a wealth of experience and dedication to every case."
Advocate Prerna Shukla,"Andheri, Mumbai",6 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-prerna-shukla.jpg,4.0,Mumbai,"Advocate Prerna Shukla has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Meenakshi Bangera,"High Court, Mumbai",3 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-meenakshi-bangera.jpg,4.0,Mumbai,"Advocate Meenakshi Bangera been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Subodh Ingole,"MUMBAI, Mumbai",9 years Experience,Civil,https://lawrato.com/expert_images/thumb/webp/advocate-subodh-ingole.webp,3.0,Mumbai,"Advocate Subodh Ingole completed his law in the year 2016 and has been providing services in various fields of law, that is, Criminal, Civil and drafting and vetting of various agreements and documents.Advocate Subodh enrolled with the Bar Council of Maharastra and Goa in 2016. He is a member of Ulasnaga Bar Association."
Advocate Deepak Tiwari,"Mulund West, Mumbai",4 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-deepak-tiwari18867.jpg,4.0,Mumbai,"Advocate Deepak Tiwari has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Chanchal Singh,"Fort, Nahur, Mumbai",1 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-chanchal-singh.jpg,4.0,Mumbai,"Advocate Chanchal Singh has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Parvez,"Fort, Mumbai",8 years Experience,Civil,https://lawrato.com/expert_images/thumb/advocate-parvez.jpg,4.0,Mumbai,"Advocate Parvez is part of Palladium Legal, a law firm with years of experience in handling various corporate, company, litigation and dispute resolution matters with a dynamic approach  a result oriented approach, both professionally and ethically and have now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Gowaal Padavi,"Hiranandani Gardens, Powai, Mumbai",10 years Experience,Civil,https://lawrato.com/expert_images/thumb/webp/advocate-gowaal-padavi.webp,4.7,Mumbai,"Advocate Gowaal Padavi completed his law in the year 2015 and has been providing services in various fields of law, that is, Civil, Property, Divorce, Wills/Trusts, Labour & Service, Motor Accident and drafting and vetting of various agreements and documents.Advocate Gowaal enrolled with the Bar Council of Maharashtra & Goa in 2015. He is a member of the Advocates Association of Western India."
Advocate Robert D Rozario,"Fort, Mumbai",21 years Experience,Civil,https://lawrato.com/expert_images/thumb/webp/advocate-robert-d-rozario.webp,4.9,Mumbai,"Advocate Robert D Rozario has been practicing and handling cases independently with a result-oriented approach, both professionally and ethically and has now acquired over 19 years of professional experience in providing legal consultancy and advisory services.Advocate Robert is the Co-Founder of M.R. Legale, Founder of Rozario Law Chambers and leads the firm's practice in the various field of civil laws, criminal laws, family laws, commercial and corporate laws, intellectual property laws, constitutional laws, property laws, taxation and drafting & vetting of various agreements and documents.Advocate Robert has obtained his graduate degree in Law from the University of Calcutta."
Advocate Manish G Varma,"Fort, Mumbai",23 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-manish-g-varma.webp,4.6,Mumbai,"Advocate Manish G Varma has been practicing and handling cases independently with over 13 years of Legal Experience in Indian Laws. His work experience covers Law Firm experience and Counselling Clients on a broad range of complex Commercial, Legal and Strategic Issues. Over the years, Manish has been fortunate to work with leading Banks, Companies and Institutions in India and Overseas.Manish had the opportunity to work with various Clients in various areas including Project Financing, Real Estate Transactions, Legal Documentation, Advisory and Due Diligence. He has an expertise and experience inter alia in the areas relating to Company Incorporation, Corporate Policies, Contract Review and Contract Administration."
Advocate Ashvin Khillare,"District and Session Court, Mumbai",6 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-ashvin-khillare.webp,4.9,Mumbai,"Advocate Ashvin Khillare has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Siddhartha Shah,"Santacruz West, Mumbai",26 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-siddhartha-shah.webp,4.7,Mumbai,"Advocate Mr. Siddhartha Shah is founder partner of M/s Siddhartha Shah & Associates is a full service law firm located in Mumbai, India. The firm practices in all aspects of litigations and non-litigation matters mainly into contracts & commercial transactions.The firm specializes in advising & practices in all aspects of International Arbitration & Mediation property & construction laws, various types of commercial laws & contracts. Also Bails and Anticipatory bails arising out of criminal complaints."
Advocate Anup S Dhannawat,"Borivali West, Mumbai",9 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-anup-s-dhannawat.webp,5.0,Mumbai,"Advocate Anup S Dhannawat has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired excellent professional experience in providing legal consultancy and advisory services. He has more than 22 years of experience in Corporate and Educational field work with degrees in Engineering, Masters in Business Administration and a professional degree in Law.He has immense expertise in succession ,legal heirship, Divorce,Criminal,Bails, service matters and is also a retainership based legal advisor for NGOs, Corporates, Educational Trusts & Institutions and Cooperative Housing Societies."
Advocate Devendra Singh,"Malad West, Mumbai",23 years Experience,Criminal,https://lawrato.com/expert_images/thumb/advocate-devendra-singh-mumbai.jpg,3.3,Mumbai,"Advocate Devendra Singh has been practicing and handling cases independently with a result-oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.He provides services in the various fields of law, that is, Arbitration, Property, Cheque Bounce, Criminal, Civil and drafting and vetting of various agreements and documents.Advocate Devendra enrolled with the Bar Council of Maharashtra & Goa in 2002. He is a member of the Bombay City Civil & Sessions Bar Association."
Advocate Moksh Jain,"Fort, Mumbai",1 years Experience,Criminal,https://lawrato.com/expert_images/thumb/advocate-moksh-abhay-jain.jpg,4.0,Mumbai,"Adv Moksh Jain has a result oriented approach, both professionally and ethically and has the professional experience of providing legal consultancy and advisory services.Advocate Moksh Jain has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.Advocate Moksh provides services in Child Custody, divorce, family law, consumer cases, start up and drafting and vetting of various agreements and documents. His area of specialization comprises of women and child related laws like Domestic Violence, POCSO Act, Sexual Harassment of Women, Arbitration, Banking / Finance, Cheque Bounce, Criminal, Cyber Crime, Divorce, Landlord/Tenant, Property, Recovery, Wills / Trusts"
Advocate Mahrukh Khan,"Bandra East, Mumbai",12 years Experience,Criminal,https://lawrato.com/expert_images/thumb/advocate-mahrukh-khan.jpg,4.0,Mumbai,"Advocate Mahrukh Khan has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Sunita Bafna,"Mumbai Central, Mumbai",12 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-sunita-bafna.webp,4.7,Mumbai,"Advocate Sunita Bafna has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.Advocate Sunita provides services in various fields of Criminal Matters, Civil Matters, Consumer Related Matters, Recovery Matters, Cheque Bounce Matters, Family Matters, Motor Accident Matter and drafting and vetting of various agreements and documents.Advocate Sunita enrolled with the Bar Council of Maharashtra and Goa in 2013. She is a member of Advocates Association of Small Causes."
Advocate Abhishek Pagare,"Andheri East, Mumbai",2 years Experience,Criminal,https://lawrato.com/expert_images/thumb/advocate-abhishek-pagare.jpg,4.0,Mumbai,"Advocate Abhishek Pagare is a seasoned advocate specializing in a wide range of legal areas, including Property, Divorce, Criminal, Family, Recovery, Cheque Bounce, Cyber Crime, Arbitration, Corporate, Insolvency, and Wills & Trust.With extensive experience in high-profile Courts and Tribunals such as the Bombay High Court, National Company Law Tribunal, City Civil & Sessions Court, Small Cause Court, Consumer Court, and Metropolitan Magistrate Court.Advocate Abhishek Pagare is well-equipped to handle complex legal matters across various domains. His expertise and commitment to delivering reliable legal solutions make him a trusted professional for clients seeking justice in diverse legal issues."
Advocate JV Bhosale,"Fort, Mumbai",17 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-jv-bhosale.webp,4.7,Mumbai,"Advocate JV Bhosale has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired excellent professional experience in providing legal consultancy and advisory services.Advocate Bhosale provides services in various fields of Criminal Matters, Consumer Court Matters, Divorce Matters, Family Matters, Property Matters, Cheque Bounce Matters, Copyright and Trademark Matters, Arbitration Matters, Armed Forces Tribunal, CAT, MAT and drafting and vetting of various agreements and documents.Advocate Bhosale enrolled with the Bar Council of Maharashtra and Goa in 2008."
Advocate Ryan Shaji Ponganthara,"Andheri East, Mumbai",3 years Experience,Criminal,https://lawrato.com/expert_images/thumb/advocate-ryan-shaji-ponganthara.jpg,4.0,Mumbai,"I have been practicing and handling cases with my Firm with a result oriented approach, both professionally and ethically and i have now acquired a few years of professional experience in providing legal consultancy and advisory services along with my Firm"
Advocate Pipli Datta,"Family Court, Mumbai",10 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-pipli-datta.webp,4.8,Mumbai,"Advocate Pipli Datta has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired excellent professional experience in litigation of family matters.She is a specialist in NRI divorces as well as writ petitions and appeals in High Court.Advocate Pipli provides services in various fields of Family Matters, Divorce Matters and drafting and vetting of various agreements and documents.Advocate Pipli enrolled with the Bar Council of Maharashtra and Goa in 2015."
Advocate Hari Shankar Verma,"Nilje, Dombivali East, Mumbai",27 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-hari-shankar-verma.webp,4.9,Mumbai,"Advocate Hari Shankar Verma completed his law in the year 1991 and has been providing services in various fields of law, that is, Family, Criminal, Divorce, R.T.I, Labour & Service, Armed Forces Tribunal and drafting and vetting of various agreements and documents.He has served in the Indian Air Force and handled legal matters such as Court Martial, Court of Inquiry, Air Force Act and Rules, Administrative matters, Disciplinary cases of Officers, Airmen and Civilians in the IAF.After discharged from the IAF, He has also served in the Indian Institute of Technology Bombay as Deputy Registrar (Audit & Legal), he has handled Legal matters, Departmental Inquiries, RTI as CPIO, Court cases etc.Advocate Hari Shankar enrolled with the Bar Council of Maharashtra & Goa."
Advocate Subodh Ingole,"MUMBAI, Mumbai",9 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-subodh-ingole.webp,3.0,Mumbai,"Advocate Subodh Ingole completed his law in the year 2016 and has been providing services in various fields of law, that is, Criminal, Civil and drafting and vetting of various agreements and documents.Advocate Subodh enrolled with the Bar Council of Maharastra and Goa in 2016. He is a member of Ulasnaga Bar Association."
Advocate Deepak Tiwari,"Mulund West, Mumbai",4 years Experience,Criminal,https://lawrato.com/expert_images/thumb/advocate-deepak-tiwari18867.jpg,4.0,Mumbai,"Advocate Deepak Tiwari has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Anish Palkar,"Andheri East, Mumbai",5 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-anish-palkar.webp,4.0,Mumbai,"Advocate Anish Palkar: Experts in Child Custody and Divorce mattersIntroduction Advocate Anish Palkar has emerged as a formidable presence in Mumbai's legal landscape, specializing in several intricate domains of law. His dedication to his clients, combined with his vast legal expertise, makes him a beacon of hope for those navigating complex legal challenges. This briefing explores Advocate Palkar’s areas of specialization, his approach to client representation, and the qualities that set him apart in the legal communityAreas of Specialization 1. Cheque Bounce Cases Cheque bounce cases often represent a significant area of concern, particularly in commercial transactions. Advocate Anish Palkar applies his extensive knowledge in this area to assist clients in both protecting their rights and pursuing justice."
Advocate Shreyas Jain,"Mumbai, Mumbai",7 years Experience,Criminal,https://lawrato.com/expert_images/thumb/advocate-shreyas-jain.jpg,4.0,Mumbai,"With a robust background in litigation spanning since 2018, Shreyas Jain is an advocate based in Mumbai and Thane, adept at navigating the complexities of legal disputes across multiple domains. My practice encompasses Criminal, Civil, Consumer, Cheque bounce, Divorce, Matrimonial, and Execution matters.Having represented several clients before esteemed institutions such as the Bombay High Court, City Civil Courts, Sessions Courts, Magistrate Courts, and Family Courts, I bring a wealth of experience and dedication to every case."
Advocate Malini Jain,"Goregaon West, Mumbai",8 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-malini-jain.webp,4.0,Mumbai,"Advocate Malini Jain has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.She has served as a Law Researcher with Retd. Hon’ble Justice Deepa Sharma, Delhi High Court (Now a member of DRT tribunal, Delhi) in 2017 and also as a Law Research Associate with National Company Law Tribunal, Mumbai.Her expertise lies in the legal arena concerning property and corporate matters. She has a fully functional office in New Delhi and Mumbai along with a set-up Chamber in Delhi High Court. She has handled matters in Delhi, Mumbai, Kerala, Chandigarh, Dehradun, Uttar Pradesh etc. concerning civil and criminal law."
Advocate Meenakshi Bangera,"High Court, Mumbai",3 years Experience,Criminal,https://lawrato.com/expert_images/thumb/advocate-meenakshi-bangera.jpg,4.0,Mumbai,"Advocate Meenakshi Bangera been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Zaid Anwar Qureshi,"Fort, Mumbai",9 years Experience,Criminal,https://lawrato.com/expert_images/thumb/webp/advocate-zaid-anwar-qureshi.webp,4.6,Mumbai,"Advocate Zaid Anwar Qureshi has been practicing and handling cases independently with a result-oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.He provides services in the various fields of law, that is, Landlord/ Tenant, Cheque Bounce, Criminal, Muslim Law, Motor Accident and drafting and vetting of various agreements and documents.Advocate Zaid Anwar enrolled with the Bar Council of Maharashtra & Goa in 2016. He is a member of the Pune Bar Association."
Advocate Ashvin Khillare,"District and Session Court, Mumbai",6 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-ashvin-khillare.webp,4.9,Mumbai,"Advocate Ashvin Khillare has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Shantanu Kumar,"Belapur, Mumbai",4 years Experience,Family,https://lawrato.com/expert_images/thumb/advocate-shantanu-kumar.jpg,4.9,Mumbai,"Advocate Shantanu Kumar has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Vibhuti Agrawal,"Kandivli East, Mumbai",8 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-vibhuti-agrawal.webp,4.8,Mumbai,"Advocate Vibhuti Agrawal completed her law in the year 2017 and has been providing services in various fields of law, that is Cheque Bounce, Consumer Court, Criminal, Divorce, Civil, and drafting and vetting of various agreements and documents.Advocate Vibhuti enrolled with the Bar Council of Maharashtra & Goa in 2017."
Advocate Siddhartha Shah,"Santacruz West, Mumbai",26 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-siddhartha-shah.webp,4.7,Mumbai,"Advocate Mr. Siddhartha Shah is founder partner of M/s Siddhartha Shah & Associates is a full service law firm located in Mumbai, India. The firm practices in all aspects of litigations and non-litigation matters mainly into contracts & commercial transactions.The firm specializes in advising & practices in all aspects of International Arbitration & Mediation property & construction laws, various types of commercial laws & contracts. "
Advocate Riya Rele,"Santacruz West, Mumbai",14 years Experience,Family,https://lawrato.com/expert_images/thumb/advocate-riya-rele.jpg,5.0,Mumbai,"Advocate Riya Rele has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Anup S Dhannawat,"Borivali West, Mumbai",9 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-anup-s-dhannawat.webp,5.0,Mumbai,"Advocate Anup S Dhannawat has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired excellent professional experience in providing legal consultancy and advisory services. He has more than 22 years of experience in Corporate and Educational field work with degrees in Engineering, Masters in Business Administration and a professional degree in Law.He has immense expertise in succession ,legal heirship, Divorce,Criminal,Bails, service matters and is also a retainership based legal advisor for NGOs, Corporates, Educational Trusts & Institutions and Cooperative Housing Societies.Advocate Anup has also earned overseas experience in various corporations and educational organisations in the UAE."
Advocate Vikrant C Deshpande,"Malad West, Mumbai",27 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-vikrant-c-deshpande.webp,4.2,Mumbai,"Advocate Vikrant C Deshpande entered the legal field to pursue his childhood dream of becoming a lawyer and to seek justice for those who are deprived of the same because of economic, social and ignorance of law barricades.In the year 1998, he completed his law from the Mumbai University and Diploma in Personnel Management from Prin. L. N. Welingkar Institute of Management Development & Research, Mumbai- [M.S].Today  Advocate Vikrant has a full-fledge plush office, qualified & competent team, who can face any legal challenges."
Advocate Devendra Singh,"Malad West, Mumbai",23 years Experience,Family,https://lawrato.com/expert_images/thumb/advocate-devendra-singh-mumbai.jpg,3.3,Mumbai,"Advocate Devendra Singh has been practicing and handling cases independently with a result-oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.He provides services in the various fields of law, that is, Arbitration, Property, Cheque Bounce, Criminal, Civil and drafting and vetting of various agreements and documents.Advocate Devendra enrolled with the Bar Council of Maharashtra & Goa in 2002. He is a member of the Bombay City Civil & Sessions Bar Association."
Advocate Shobha N. Sangelkar,"Bandra (East), Mumbai",11 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-shobha-n-sangelkar.webp,4.0,Mumbai,"Advocate Shobha N. Sangelkar has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Jenal Bharat Busa,"Borivali West, Mumbai",17 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-jenal-bharat-busa.webp,4.3,Mumbai,"Advocate Jenal Bharat Busa has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.Advocate Jenal provides services in various fields of Consumer related Matters, Divorce Matters, Family Matters, Property Matters, Civil Matters, Corporate Matters and drafting and vetting of various agreements and documents..Advocate Jenal enrolled with the Bar Council of Maharashtra & Goa in 2008. She is also a member of Borivali Advocates Bar Association."
Advocate Prashant Gupta,"Bandra East, Mumbai",9 years Experience,Family,https://lawrato.com/expert_images/thumb/advocate-prashant-gupta.jpg,4.0,Mumbai,"Advocate Prashant Gupta has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Pipli Datta,"Family Court, Mumbai",10 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-pipli-datta.webp,4.8,Mumbai,"Advocate Pipli Datta has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired excellent professional experience in litigation of family matters.She is a specialist in NRI divorces as well as writ petitions and appeals in High Court.Advocate Pipli provides services in various fields of Family Matters, Divorce Matters and drafting and vetting of various agreements and documents.Advocate Pipli enrolled with the Bar Council of Maharashtra and Goa in 2015."
Advocate Mahrukh Khan,"Bandra East, Mumbai",12 years Experience,Family,https://lawrato.com/expert_images/thumb/advocate-mahrukh-khan.jpg,4.0,Mumbai,"Advocate Mahrukh Khan has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
Advocate Sunita Bafna,"Mumbai Central, Mumbai",12 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-sunita-bafna.webp,4.7,Mumbai,"Advocate Sunita Bafna has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services.Advocate Sunita provides services in various fields of Criminal Matters, Civil Matters, Consumer Related Matters, Recovery Matters, Cheque Bounce Matters, Family Matters, Motor Accident Matter and drafting and vetting of various agreements and documents.Advocate Sunita enrolled with the Bar Council of Maharashtra and Goa in 2013. She is a member of Advocates Association of Small Causes."
Advocate JV Bhosale,"Fort, Mumbai",17 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-jv-bhosale.webp,4.7,Mumbai,"Advocate JV Bhosale has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired excellent professional experience in providing legal consultancy and advisory services.Advocate Bhosale provides services in various fields of Criminal Matters, Consumer Court Matters, Divorce Matters, Family Matters, Property Matters, Cheque Bounce Matters, Copyright and Trademark Matters, Arbitration Matters, Armed Forces Tribunal, CAT, MAT and drafting and vetting of various agreements and documents.Advocate Bhosale enrolled with the Bar Council of Maharashtra and Goa in 2008."
Advocate Abhishek Pagare,"Andheri East, Mumbai",2 years Experience,Family,https://lawrato.com/expert_images/thumb/advocate-abhishek-pagare.jpg,4.0,Mumbai,"Advocate Abhishek Pagare is a seasoned advocate specializing in a wide range of legal areas, including Property, Divorce, Criminal, Family, Recovery, Cheque Bounce, Cyber Crime, Arbitration, Corporate, Insolvency, and Wills & Trust.With extensive experience in high-profile Courts and Tribunals such as the Bombay High Court, National Company Law Tribunal, City Civil & Sessions Court, Small Cause Court, Consumer Court, and Metropolitan Magistrate Court.Advocate Abhishek Pagare is well-equipped to handle complex legal matters across various domains. His expertise and commitment to delivering reliable legal solutions make him a trusted professional for clients seeking justice in diverse legal issues."
Advocate Menaz Maqbul Shaikh,"Andheri West, Mumbai",9 years Experience,Family,https://lawrato.com/expert_images/thumb/webp/advocate-menaz-maqbul-shaikh.webp,4.9,Mumbai,"Advocate Menaz Maqbul Shaikh has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired excellent professional experience in providing legal consultancy and advisory services.Advocate Menaz provides services in various fields of Civil Matters, Documentation Matters, Child Custody Matters, Adoption / Surrogacy, Family Matters, Societal Matters, Deeds Matters, Muslim Law Matters and drafting and vetting of various agreements and documents.Advocate Menaz enrolled with the Bar Council of Maharashtra and Goa in 2016 & is actively practising in all Courts of Mumbai, Margoa Court of Goa, Chennai Family Court, Aurangabad Family Court, Pune Family Court and Honourable Supreme Court of India."
Advocate Vanita Yogesh Orpe,"Borivali, Mumbai",17 years Experience,Family,https://lawrato.com/expert_images/thumb/advocate-vanita-yogesh-orpe.jpg,5.0,Mumbai,"Advocate Vanita Yogesh Orpe has been practicing and handling cases independently with a result oriented approach, both professionally and ethically and has now acquired many years of professional experience in providing legal consultancy and advisory services."
